EmpNo,Captain,FirstOfficer,Deadhead,Base,DutyCostPerHour,ParingCostPerHour
B0001,Y,Y,Y,HOM,640,20
B0002,Y,Y,Y,HOM,640,20
B0003,Y,Y,Y,HOM,640,20
B0004,Y,Y,Y,HOM,640,20
B0005,Y,Y,Y,HOM,640,20
B0006,Y,Y,Y,HOM,640,20
B0007,Y,Y,Y,HOM,640,20
B0008,Y,Y,Y,HOM,640,20
B0009,Y,Y,Y,HOM,640,20
B0010,Y,Y,Y,HOM,640,20
B0011,Y,Y,Y,HOM,640,20
B0012,Y,Y,Y,HOM,640,20
B0013,Y,Y,Y,HOM,640,20
B0014,Y,Y,Y,HOM,640,20
B0015,Y,Y,Y,HOM,640,20
B0016,Y,Y,Y,HOM,640,20
B0017,Y,Y,Y,HOM,640,20
B0018,Y,Y,Y,HOM,640,20
B0019,Y,Y,Y,HOM,640,20
B0020,Y,Y,Y,HOM,640,20
B0021,Y,,Y,HOM,680,20
B0022,Y,,Y,HOM,680,20
B0023,Y,,Y,HOM,680,20
B0024,Y,,Y,HOM,680,20
B0025,Y,,Y,HOM,680,20
B0026,Y,,Y,HOM,680,20
B0027,Y,,Y,HOM,680,20
B0028,Y,,Y,HOM,680,20
B0029,Y,,Y,HOM,680,20
B0030,Y,,Y,HOM,680,20
B0031,Y,,Y,HOM,680,20
B0032,Y,,Y,HOM,680,20
B0033,Y,,Y,HOM,680,20
B0034,Y,,Y,HOM,680,20
B0035,Y,,Y,HOM,680,20
B0036,Y,,Y,HOM,680,20
B0037,Y,,Y,HOM,680,20
B0038,Y,,Y,HOM,680,20
B0039,Y,,Y,HOM,680,20
B0040,Y,,Y,HOM,680,20
B0041,Y,,Y,HOM,680,20
B0042,Y,,Y,HOM,680,20
B0043,Y,,Y,HOM,680,20
B0044,Y,,Y,HOM,680,20
B0045,Y,,Y,HOM,680,20
B0046,Y,,Y,HOM,680,20
B0047,Y,,Y,HOM,680,20
B0048,Y,,Y,HOM,680,20
B0049,,Y,Y,HOM,600,20
B0050,,Y,Y,HOM,600,20
B0051,,Y,Y,HOM,600,20
B0052,,Y,Y,HOM,600,20
B0053,,Y,Y,HOM,600,20
B0054,,Y,Y,HOM,600,20
B0055,,Y,Y,HOM,600,20
B0056,,Y,Y,HOM,600,20
B0057,,Y,Y,HOM,600,20
B0058,,Y,Y,HOM,600,20
B0059,,Y,Y,HOM,600,20
B0060,,Y,Y,HOM,600,20
B0061,,Y,Y,HOM,600,20
B0062,,Y,Y,HOM,600,20
B0063,,Y,Y,HOM,600,20
B0064,,Y,Y,HOM,600,20
B0065,,Y,Y,HOM,600,20
B0066,,Y,Y,HOM,600,20
B0067,,Y,Y,HOM,600,20
B0068,,Y,Y,HOM,600,20
B0069,,Y,Y,HOM,600,20
B0070,,Y,Y,HOM,600,20
B0071,,Y,Y,HOM,600,20
B0072,,Y,Y,HOM,600,20
B0073,Y,Y,Y,NKX,640,20
B0074,Y,Y,Y,NKX,640,20
B0075,Y,Y,Y,NKX,640,20
B0076,Y,Y,Y,NKX,640,20
B0077,Y,Y,Y,NKX,640,20
B0078,Y,Y,Y,NKX,640,20
B0079,Y,Y,Y,NKX,640,20
B0080,Y,Y,Y,NKX,640,20
B0081,Y,Y,Y,NKX,640,20
B0082,Y,Y,Y,NKX,640,20
B0083,Y,Y,Y,NKX,640,20
B0084,Y,Y,Y,NKX,640,20
B0085,Y,Y,Y,NKX,640,20
B0086,Y,Y,Y,NKX,640,20
B0087,Y,Y,Y,NKX,640,20
B0088,Y,Y,Y,NKX,640,20
B0089,Y,Y,Y,NKX,640,20
B0090,Y,Y,Y,NKX,640,20
B0091,Y,Y,Y,NKX,640,20
B0092,Y,Y,Y,NKX,640,20
B0093,Y,Y,Y,NKX,640,20
B0094,Y,Y,Y,NKX,640,20
B0095,Y,Y,Y,NKX,640,20
B0096,Y,Y,Y,NKX,640,20
B0097,Y,Y,Y,NKX,640,20
B0098,Y,Y,Y,NKX,640,20
B0099,Y,Y,Y,NKX,640,20
B0100,Y,Y,Y,NKX,640,20
B0101,Y,Y,Y,NKX,640,20
B0102,Y,Y,Y,NKX,640,20
B0103,Y,Y,Y,NKX,640,20
B0104,Y,Y,Y,NKX,640,20
B0105,Y,Y,Y,NKX,640,20
B0106,Y,Y,Y,NKX,640,20
B0107,Y,Y,Y,NKX,640,20
B0108,Y,Y,Y,NKX,640,20
B0109,Y,Y,Y,NKX,640,20
B0110,Y,Y,Y,NKX,640,20
B0111,Y,Y,Y,NKX,640,20
B0112,Y,Y,Y,NKX,640,20
B0113,Y,Y,Y,NKX,640,20
B0114,Y,Y,Y,NKX,640,20
B0115,Y,Y,Y,NKX,640,20
B0116,Y,Y,Y,NKX,640,20
B0117,Y,Y,Y,NKX,640,20
B0118,Y,Y,Y,NKX,640,20
B0119,Y,Y,Y,NKX,640,20
B0120,Y,Y,Y,NKX,640,20
B0121,Y,Y,Y,NKX,640,20
B0122,Y,Y,Y,NKX,640,20
B0123,Y,Y,Y,NKX,640,20
B0124,Y,Y,Y,NKX,640,20
B0125,Y,Y,Y,NKX,640,20
B0126,Y,Y,Y,NKX,640,20
B0127,Y,Y,Y,NKX,640,20
B0128,Y,Y,Y,NKX,640,20
B0129,Y,Y,Y,NKX,640,20
B0130,Y,Y,Y,NKX,640,20
B0131,Y,Y,Y,NKX,640,20
B0132,Y,Y,Y,NKX,640,20
B0133,Y,Y,Y,NKX,640,20
B0134,Y,Y,Y,NKX,640,20
B0135,Y,Y,Y,NKX,640,20
B0136,Y,Y,Y,NKX,640,20
B0137,Y,Y,Y,NKX,640,20
B0138,Y,Y,Y,NKX,640,20
B0139,Y,Y,Y,NKX,640,20
B0140,Y,Y,Y,NKX,640,20
B0141,Y,Y,Y,NKX,640,20
B0142,Y,Y,Y,NKX,640,20
B0143,Y,Y,Y,NKX,640,20
B0144,Y,Y,Y,NKX,640,20
B0145,Y,Y,Y,NKX,640,20
B0146,Y,Y,Y,NKX,640,20
B0147,Y,Y,Y,NKX,640,20
B0148,Y,Y,Y,NKX,640,20
B0149,Y,Y,Y,NKX,640,20
B0150,Y,Y,Y,NKX,640,20
B0151,Y,Y,Y,NKX,640,20
B0152,Y,Y,Y,NKX,640,20
B0153,Y,Y,Y,NKX,640,20
B0154,Y,Y,Y,NKX,640,20
B0155,Y,Y,Y,NKX,640,20
B0156,Y,Y,Y,NKX,640,20
B0157,Y,Y,Y,NKX,640,20
B0158,Y,Y,Y,NKX,640,20
B0159,Y,Y,Y,NKX,640,20
B0160,Y,Y,Y,NKX,640,20
B0161,Y,Y,Y,NKX,640,20
B0162,Y,Y,Y,NKX,640,20
B0163,Y,Y,Y,NKX,640,20
B0164,Y,Y,Y,NKX,640,20
B0165,Y,Y,Y,NKX,640,20
B0166,Y,Y,Y,NKX,640,20
B0167,Y,Y,Y,NKX,640,20
B0168,Y,Y,Y,NKX,640,20
B0169,Y,Y,Y,NKX,640,20
B0170,Y,Y,Y,NKX,640,20
B0171,Y,Y,Y,NKX,640,20
B0172,Y,Y,Y,NKX,640,20
B0173,Y,Y,Y,NKX,640,20
B0174,Y,Y,Y,NKX,640,20
B0175,Y,Y,Y,NKX,640,20
B0176,Y,Y,Y,NKX,640,20
B0177,Y,,Y,NKX,680,20
B0178,Y,,Y,NKX,680,20
B0179,Y,,Y,NKX,680,20
B0180,Y,,Y,NKX,680,20
B0181,Y,,Y,NKX,680,20
B0182,Y,,Y,NKX,680,20
B0183,Y,,Y,NKX,680,20
B0184,Y,,Y,NKX,680,20
B0185,Y,,Y,NKX,680,20
B0186,Y,,Y,NKX,680,20
B0187,Y,,Y,NKX,680,20
B0188,Y,,Y,NKX,680,20
B0189,Y,,Y,NKX,680,20
B0190,Y,,Y,NKX,680,20
B0191,Y,,Y,NKX,680,20
B0192,Y,,Y,NKX,680,20
B0193,Y,,Y,NKX,680,20
B0194,Y,,Y,NKX,680,20
B0195,Y,,Y,NKX,680,20
B0196,Y,,Y,NKX,680,20
B0197,Y,,Y,NKX,680,20
B0198,Y,,Y,NKX,680,20
B0199,Y,,Y,NKX,680,20
B0200,Y,,Y,NKX,680,20
B0201,Y,,Y,NKX,680,20
B0202,Y,,Y,NKX,680,20
B0203,Y,,Y,NKX,680,20
B0204,Y,,Y,NKX,680,20
B0205,Y,,Y,NKX,680,20
B0206,Y,,Y,NKX,680,20
B0207,Y,,Y,NKX,680,20
B0208,Y,,Y,NKX,680,20
B0209,Y,,Y,NKX,680,20
B0210,Y,,Y,NKX,680,20
B0211,Y,,Y,NKX,680,20
B0212,Y,,Y,NKX,680,20
B0213,Y,,Y,NKX,680,20
B0214,Y,,Y,NKX,680,20
B0215,Y,,Y,NKX,680,20
B0216,Y,,Y,NKX,680,20
B0217,Y,,Y,NKX,680,20
B0218,Y,,Y,NKX,680,20
B0219,Y,,Y,NKX,680,20
B0220,Y,,Y,NKX,680,20
B0221,Y,,Y,NKX,680,20
B0222,Y,,Y,NKX,680,20
B0223,Y,,Y,NKX,680,20
B0224,Y,,Y,NKX,680,20
B0225,Y,,Y,NKX,680,20
B0226,Y,,Y,NKX,680,20
B0227,Y,,Y,NKX,680,20
B0228,Y,,Y,NKX,680,20
B0229,Y,,Y,NKX,680,20
B0230,Y,,Y,NKX,680,20
B0231,Y,,Y,NKX,680,20
B0232,Y,,Y,NKX,680,20
B0233,Y,,Y,NKX,680,20
B0234,Y,,Y,NKX,680,20
B0235,Y,,Y,NKX,680,20
B0236,,Y,Y,NKX,600,20
B0237,,Y,Y,NKX,600,20
B0238,,Y,Y,NKX,600,20
B0239,,Y,Y,NKX,600,20
B0240,,Y,Y,NKX,600,20
B0241,,Y,Y,NKX,600,20
B0242,,Y,Y,NKX,600,20
B0243,,Y,Y,NKX,600,20
B0244,,Y,Y,NKX,600,20
B0245,,Y,Y,NKX,600,20
B0246,,Y,Y,NKX,600,20
B0247,,Y,Y,NKX,600,20
B0248,,Y,Y,NKX,600,20
B0249,,Y,Y,NKX,600,20
B0250,,Y,Y,NKX,600,20
B0251,,Y,Y,NKX,600,20
B0252,,Y,Y,NKX,600,20
B0253,,Y,Y,NKX,600,20
B0254,,Y,Y,NKX,600,20
B0255,,Y,Y,NKX,600,20
B0256,,Y,Y,NKX,600,20
B0257,,Y,Y,NKX,600,20
B0258,,Y,Y,NKX,600,20
B0259,,Y,Y,NKX,600,20
B0260,,Y,Y,NKX,600,20
B0261,,Y,Y,NKX,600,20
B0262,,Y,Y,NKX,600,20
B0263,,Y,Y,NKX,600,20
B0264,,Y,Y,NKX,600,20
B0265,,Y,Y,NKX,600,20
B0266,,Y,Y,NKX,600,20
B0267,,Y,Y,NKX,600,20
B0268,,Y,Y,NKX,600,20
B0269,,Y,Y,NKX,600,20
B0270,,Y,Y,NKX,600,20
B0271,,Y,Y,NKX,600,20
B0272,,Y,Y,NKX,600,20
B0273,,Y,Y,NKX,600,20
B0274,,Y,Y,NKX,600,20
B0275,,Y,Y,NKX,600,20
B0276,,Y,Y,NKX,600,20
B0277,,Y,Y,NKX,600,20
B0278,,Y,Y,NKX,600,20
B0279,,Y,Y,NKX,600,20
B0280,,Y,Y,NKX,600,20
B0281,,Y,Y,NKX,600,20
B0282,,Y,Y,NKX,600,20
B0283,,Y,Y,NKX,600,20
B0284,,Y,Y,NKX,600,20
B0285,,Y,Y,NKX,600,20
B0286,,Y,Y,NKX,600,20
B0287,,Y,Y,NKX,600,20
B0288,,Y,Y,NKX,600,20
B0289,,Y,Y,NKX,600,20
B0290,,Y,Y,NKX,600,20
B0291,,Y,Y,NKX,600,20
B0292,,Y,Y,NKX,600,20
B0293,,Y,Y,NKX,600,20
B0294,,Y,Y,NKX,600,20
B0295,,Y,Y,NKX,600,20
B0296,,Y,Y,NKX,600,20
B0297,,Y,Y,NKX,600,20
B0298,,Y,Y,NKX,600,20
B0299,,Y,Y,NKX,600,20
B0300,,Y,Y,NKX,600,20
B0301,,Y,Y,NKX,600,20
B0302,,Y,Y,NKX,600,20
B0303,,Y,Y,NKX,600,20
B0304,,Y,Y,NKX,600,20
B0305,,Y,Y,NKX,600,20
B0306,,Y,Y,NKX,600,20
B0307,,Y,Y,NKX,600,20
B0308,,Y,Y,NKX,600,20
B0309,,Y,Y,NKX,600,20
B0310,,Y,Y,NKX,600,20
B0311,,Y,Y,NKX,600,20
B0312,,Y,Y,NKX,600,20
B0313,,Y,Y,NKX,600,20
B0314,,Y,Y,NKX,600,20
B0315,,Y,Y,NKX,600,20
B0316,,Y,Y,NKX,600,20
B0317,,Y,Y,NKX,600,20
B0318,,Y,Y,NKX,600,20
B0319,,Y,Y,NKX,600,20
B0320,,Y,Y,NKX,600,20
B0321,,Y,Y,NKX,600,20
B0322,,Y,Y,NKX,600,20
B0323,,Y,Y,NKX,600,20
B0324,,Y,Y,NKX,600,20
B0325,,Y,Y,NKX,600,20
B0326,,Y,Y,NKX,600,20
B0327,,Y,Y,NKX,600,20
B0328,,Y,Y,NKX,600,20
B0329,,Y,Y,NKX,600,20
B0330,,Y,Y,NKX,600,20
B0331,,Y,Y,NKX,600,20
B0332,,Y,Y,NKX,600,20
B0333,,Y,Y,NKX,600,20
B0334,,Y,Y,NKX,600,20
B0335,,Y,Y,NKX,600,20
B0336,,Y,Y,NKX,600,20
B0337,,Y,Y,NKX,600,20
B0338,,Y,Y,NKX,600,20
B0339,,Y,Y,NKX,600,20
B0340,,Y,Y,NKX,600,20
B0341,,Y,Y,NKX,600,20
B0342,,Y,Y,NKX,600,20
B0343,,Y,Y,NKX,600,20
B0344,,Y,Y,NKX,600,20
B0345,,Y,Y,NKX,600,20
B0346,,Y,Y,NKX,600,20
B0347,,Y,Y,NKX,600,20
B0348,,Y,Y,NKX,600,20
B0349,,Y,Y,NKX,600,20
B0350,,Y,Y,NKX,600,20
B0351,,Y,Y,NKX,600,20
B0352,,Y,Y,NKX,600,20
B0353,,Y,Y,NKX,600,20
B0354,,Y,Y,NKX,600,20
B0355,,Y,Y,NKX,600,20
B0356,,Y,Y,NKX,600,20
B0357,,Y,Y,NKX,600,20
B0358,,Y,Y,NKX,600,20
B0359,,Y,Y,NKX,600,20
B0360,,Y,Y,NKX,600,20
B0361,,Y,Y,NKX,600,20
B0362,,Y,Y,NKX,600,20
B0363,,Y,Y,NKX,600,20
B0364,,Y,Y,NKX,600,20
B0365,,Y,Y,NKX,600,20
B0366,,Y,Y,NKX,600,20
B0367,,Y,Y,NKX,600,20
B0368,,Y,Y,NKX,600,20
B0369,,Y,Y,NKX,600,20
B0370,,Y,Y,NKX,600,20
B0371,,Y,Y,NKX,600,20
B0372,,Y,Y,NKX,600,20
B0373,,Y,Y,NKX,600,20
B0374,,Y,Y,NKX,600,20
B0375,,Y,Y,NKX,600,20
B0376,,Y,Y,NKX,600,20
B0377,,Y,Y,NKX,600,20
B0378,,Y,Y,NKX,600,20
B0379,,Y,Y,NKX,600,20
B0380,,Y,Y,NKX,600,20
B0381,,Y,Y,NKX,600,20
B0382,,Y,Y,NKX,600,20
B0383,,Y,Y,NKX,600,20
B0384,,Y,Y,NKX,600,20
B0385,,Y,Y,NKX,600,20
B0386,,Y,Y,NKX,600,20
B0387,,Y,Y,NKX,600,20
B0388,,Y,Y,NKX,600,20
B0389,,Y,Y,NKX,600,20
B0390,,Y,Y,NKX,600,20
B0391,,Y,Y,NKX,600,20
B0392,,Y,Y,NKX,600,20
B0393,,Y,Y,NKX,600,20
B0394,,Y,Y,NKX,600,20
B0395,,Y,Y,NKX,600,20
B0396,,Y,Y,NKX,600,20
B0397,,Y,Y,NKX,600,20
B0398,,Y,Y,NKX,600,20
B0399,,Y,Y,NKX,600,20
B0400,,Y,Y,NKX,600,20
B0401,,Y,Y,NKX,600,20
B0402,,Y,Y,NKX,600,20
B0403,,Y,Y,NKX,600,20
B0404,,Y,Y,NKX,600,20
B0405,,Y,Y,NKX,600,20
B0406,,Y,Y,NKX,600,20
B0407,,Y,Y,NKX,600,20
B0408,,Y,Y,NKX,600,20
B0409,,Y,Y,NKX,600,20
B0410,,Y,Y,NKX,600,20
B0411,,Y,Y,NKX,600,20
B0412,,Y,Y,NKX,600,20
B0413,,Y,Y,NKX,600,20
B0414,,Y,Y,NKX,600,20
B0415,,Y,Y,NKX,600,20
B0416,,Y,Y,NKX,600,20
B0417,,Y,Y,NKX,600,20
B0418,,Y,Y,NKX,600,20
B0419,,Y,Y,NKX,600,20
B0420,,Y,Y,NKX,600,20
B0421,,Y,Y,NKX,600,20
B0422,,Y,Y,NKX,600,20
B0423,,Y,Y,NKX,600,20
B0424,,Y,Y,NKX,600,20
B0425,,Y,Y,NKX,600,20
B0426,,Y,Y,NKX,600,20
B0427,,Y,Y,NKX,600,20
B0428,,Y,Y,NKX,600,20
B0429,,Y,Y,NKX,600,20
B0430,,Y,Y,NKX,600,20
B0431,,Y,Y,NKX,600,20
B0432,,Y,Y,NKX,600,20
B0433,,Y,Y,NKX,600,20
B0434,,Y,Y,NKX,600,20
B0435,,Y,Y,NKX,600,20
B0436,,Y,Y,NKX,600,20
B0437,,Y,Y,NKX,600,20
B0438,,Y,Y,NKX,600,20
B0439,,Y,Y,NKX,600,20
B0440,,Y,Y,NKX,600,20
B0441,,Y,Y,NKX,600,20
B0442,,Y,Y,NKX,600,20
B0443,,Y,Y,NKX,600,20
B0444,,Y,Y,NKX,600,20
B0445,,Y,Y,NKX,600,20
B0446,,Y,Y,NKX,600,20
B0447,,Y,Y,NKX,600,20
B0448,,Y,Y,NKX,600,20
B0449,,Y,Y,NKX,600,20
B0450,,Y,Y,NKX,600,20
B0451,,Y,Y,NKX,600,20
B0452,,Y,Y,NKX,600,20
B0453,,Y,Y,NKX,600,20
B0454,,Y,Y,NKX,600,20
B0455,,Y,Y,NKX,600,20
B0456,,Y,Y,NKX,600,20
B0457,,Y,Y,NKX,600,20
B0458,,Y,Y,NKX,600,20
B0459,,Y,Y,NKX,600,20
B0460,,Y,Y,NKX,600,20
B0461,,Y,Y,NKX,600,20
B0462,,Y,Y,NKX,600,20
B0463,,Y,Y,NKX,600,20
B0464,,Y,Y,NKX,600,20
B0465,,Y,Y,NKX,600,20
